Instance,YearOfRecord,HousingSituation,CrimeLevel,WorkExperience,Satisfation,Gender,Age,Country,SizeOfCity,Profession,UniversityDegree,WearsGlasses,HairColor,Height,YearlyIncomeInAddition,Income
241,1940,0,15,16,Average,0,31,Austria,1259387,senior director,Master,0,Black,208,0 EUR,2111.32
242,1940,0,15,14,Average,male,30,Austria,1224538,presser,No,0,Blond,172,0 EUR,1156.63
243,1940,0,14,13,Average,unknown,23,Austria,528772,staff engineer / architect,Bachelor,1,Brown,178,0 EUR,953.49
244,1940,0,16,17,Average,other,39,Austria,76831,registered dental hygienist,No,1,Brown,169,0 EUR,301.8
245,1940,0,13,11,Average,#N/A,18,Austria,2777938,roof bolter,No,1,Blond,178,0 EUR,1253.71
246,1940,0,13,6.3,Somewhat Happy,female,22,Austria,2298922,janitor,Master,0,Blond,153,0 EUR,1502.03
247,1940,0,16,17,Average,female,40,Austria,519,program contract analyst,No,0,Red,162,0 EUR,301.92
248,1940,0,13,11,Average,other,19,Austria,878646,senior cook,Bachelor,1,Blond,178,0 EUR,816.97
249,1940,0,13,13,Average,male,19,Austria,38852,Betting Shop,No,1,Black,172,0 EUR,334.26
250,1940,0,12,9,Average,other,16,Austria,77362,program planner,Master,0,Red,172,0 EUR,370.39
251,1940,0,17,22,Somewhat Happy,male,54,Austria,1055064,performance management specialist,No,0,Black,183,0 EUR,1473.74
252,1940,0,16,17,Somewhat Happy,male,41,Austria,1178481,mining machine operator,Bachelor,0,Black,230,90801.48 EUR,92426.85
253,1940,0,16,19,Average,female,45,Austria,27351,public warning specialist,#N/A,0,Brown,169,13042.1 EUR,13312.73
254,1940,0,17,22,Average,male,52,Austria,1864832,prosecutor,Master,1,Black,203,0 EUR,2046.14
255,1940,0,11,9,Average,#N/A,14,Austria,845633,project development coordinator,Bachelor,1,#N/A,195,0 EUR,754.59
256,1940,0,16,19,Average,male,44,Austria,1542046,purchasing agent,Bachelor,1,Blond,194,0 EUR,1730.87
257,1940,0,19,30,Average,female,78,Austria,372052,program and policy specialist,Master,1,Black,197,0 EUR,1155.96
258,1940,0,14,15,Average,male,28,Austria,1386101,senior project analyst,Master,1,Black,200,0 EUR,1742.15
259,1940,0,18,26,Average,male,65,Austria,1338399,revenue agent,Bachelor,0,Blond,159,0 EUR,1782.26
260,1940,0,14,11,Happy,female,23,Austria,585869,personnel associate,Bachelor,1,Black,157,0 EUR,891.18
261,1940,0,15,12,Happy,female,29,Austria,13302,legal assistant,Bachelor,0,Blond,187,19136.91 EUR,19460.02
262,1940,0,12,11,Average,male,16,Austria,819038,structural engineer,No,1,Black,211,0 EUR,809.16
263,1940,0,17,18,Somewhat Happy,male,47,Austria,1195288,loan officer,Bachelor,1,Black,166,0 EUR,1505.84
264,1940,0,12,5.6,Somewhat Happy,female,15,Austria,1090750,office coordinator,Master,0,Blond,129,0 EUR,1556.25
265,1940,0,16,19,Average,#N/A,41,Austria,92983,stock worker level ii,Bachelor,0,Black,172,0 EUR,423.77
266,1940,0,13,10,Happy,male,18,Austria,74219,paramedic,Master,1,#N/A,240,0 EUR,409.09
267,1940,0,13,13,Average,male,18,Austria,187994,Baggage Handler,No,1,#N/A,184,0 EUR,738.03
268,1940,0,16,17,Average,other,40,Austria,2058421,program coordinator for early childhood health,Master,0,Black,154,0 EUR,1859.09
269,1940,0,17,21,Happy,male,54,Austria,20176,motor vehicle operator,No,1,Black,204,0 EUR,382.54
270,1940,0,16,18,Average,male,41,Austria,55303,procurement analyst,Bachelor,0,Blond,183,0 EUR,294.01
271,1940,0,14,11,Happy,male,24,Austria,980825,network engineer,Bachelor,0,Blond,189,0 EUR,890.27
272,1940,0,15,13,Happy,male,30,Austria,64205,meeting and convention planner,Bachelor,0,Black,146,0 EUR,334.42
273,1940,0,16,19,Average,other,44,Austria,27549,senior early childhood education consultant,Master,1,Blond,157,0 EUR,495.17
274,1940,0,13,11,Happy,male,21,Austria,77134,patternmaker,#N/A,1,Black,183,0 EUR,156.83
275,1940,0,16,17,Average,male,40,Austria,963605,radiation emergency response specialist,#N/A,1,Black,162,0 EUR,676.49
276,1940,0,18,24,Average,female,61,Austria,1886223,producer ,No,0,Blond,175,0 EUR,1373.65
277,1940,0,17,22,Happy,female,56,Austria,300312,police surgeon,Bachelor,0,Black,181,0 EUR,1095.96
278,1940,0,14,13,Somewhat Happy,male,28,Austria,1179773,permit records assistant,Master,1,Blond,161,0 EUR,1585.34
279,1940,0,14,11,Somewhat Happy,#N/A,24,Austria,1499462,office administrator,Bachelor,0,Brown,184,0 EUR,1409.89
280,1940,0,11,5.6,Happy,female,14,Austria,243557,physician,No,1,Black,156,0 EUR,670.35
281,1940,0,12,11,Average,female,17,Austria,80393,singer,Bachelor,0,Brown,187,0 EUR,316.11
282,1940,0,16,18,Happy,male,45,Austria,9347,lead trainer,Bachelor,0,Black,209,0 EUR,467.6
283,1940,0,13,10,Somewhat Happy,#N/A,22,Austria,1268420,marine oilermate,Master,0,Brown,183,0 EUR,1631.68
284,1940,0,12,8,Happy,other,16,Austria,114491,mail clerk,Bachelor,1,Black,167,0 EUR,762.72
285,1940,0,19,30,Somewhat Happy,male,81,Austria,1191630,measurer,#N/A,0,Blond,209,0 EUR,1265.17
286,1940,0,18,26,Average,male,68,Austria,1761479,product promoter,Bachelor,1,Blond,157,44574.58 EUR,46141.75
287,1940,0,15,15,Average,other,32,Austria,43843,respiratory therapist,#N/A,0,Red,155,0 EUR,327.33
288,1940,0,16,18,Average,other,43,Austria,282058,product owner,No,1,Blond,172,0 EUR,906.51
289,1940,0,16,18,Average,female,41,Austria,2008531,school health nurse practitioner,No,1,Black,158,0 EUR,1273.71
290,1940,0,14,10,Somewhat Happy,other,23,Austria,2135862,market researcher,Master,0,Brown,150,0 EUR,1580.41
291,1940,0,15,16,Average,male,32,Austria,10874,senior data scientist,No,1,Black,191,0 EUR,388.56
292,1940,0,16,18,Average,male,38,Austria,1447,social worker,Bachelor,1,Brown,180,0 EUR,402.26
293,1940,0,16,17,Average,male,38,Austria,1058363,program executive,Master,0,Blond,162,0 EUR,1663.99
294,1940,0,16,17,Average,male,37,Austria,1403560,reporter,Master,0,Brown,194,0 EUR,2020.56
295,1940,0,14,9,Happy,male,23,Austria,16382,elevator installer,PhD,0,Brown,198,0 EUR,357.7
296,1940,0,14,10,Somewhat Happy,female,25,Austria,2128156,it relationship manager,Master,1,Black,158,0 EUR,1578.84
297,1940,0,12,10,Average,male,16,Austria,402328,senior investment analyst,No,1,Brown,190,0 EUR,741.49
298,1940,0,13,10,Somewhat Happy,other,20,Austria,1518108,ombudsperson,No,0,#N/A,177,0 EUR,1119.04
299,1940,0,13,10,Happy,male,19,Austria,3889,mining engineer,Master,0,Blond,211,0 EUR,371.17
300,1940,0,15,11,Happy,female,31,Austria,123557,field/desktop technician,Bachelor,1,Red,159,0 EUR,771.62
301,1940,0,17,21,Average,female,51,Austria,1130650,radio room operator,Bachelor,1,Blond,142,0 EUR,1637.65
302,1940,0,13,12,Average,male,21,Austria,209775,records officer,Master,1,Black,197,0 EUR,993.86
303,1940,0,17,22,Average,other,50,Austria,49278,risk management,No,1,Brown,203,0 EUR,455.34
304,1940,0,16,18,Average,female,42,Austria,1210453,religious worker,Master,1,Blond,149,0 EUR,1920.14
305,1940,0,12,9,Happy,male,17,Austria,17756,mobile device management architect,Bachelor,0,Black,182,0 EUR,296.83
306,1940,0,15,15,Average,#N/A,29,Austria,272546,waiter,Bachelor,0,Black,163,0 EUR,1095.02
307,1940,0,18,22,Happy,other,58,Austria,268147,network services manager,Master,1,Brown,168,0 EUR,1248.39
308,1940,0,16,15,Somewhat Happy,male,36,Austria,1533387,junior z/os engineer,#N/A,1,Blond,189,0 EUR,754.42
309,1940,0,13,11,Happy,male,21,Austria,69527,nuclear engineer,No,0,Black,206,0 EUR,273.85
310,1940,0,18,22,Happy,other,59,Austria,377313,lead expense management analyst,No,0,Brown,150,0 EUR,868.06
311,1940,0,18,24,Happy,male,63,Austria,142310,mail machine operator,Bachelor,0,Blond,207,0 EUR,1029.53
312,1940,0,13,11,Average,male,19,Austria,131188,recreational therapist,Bachelor,1,#N/A,196,0 EUR,840.81
313,1940,0,13,11,Happy,male,21,Austria,615201,parking lot attendant,Bachelor,1,Brown,180,0 EUR,868.75
314,1940,0,15,14,Happy,other,34,Austria,48630,junior public health nurse,PhD,1,#N/A,174,0 EUR,493.05
315,1940,0,16,18,Happy,male,42,Austria,380588,oil burner specialist,#N/A,1,Black,203,0 EUR,807.62
316,1940,0,15,13,Somewhat Happy,male,32,Austria,1737118,legal coordinator,Master,1,Black,180,0 EUR,1738.84
317,1940,0,14,14,Average,male,27,Austria,644698,safety engineer,Master,0,Unknown,192,0 EUR,1151.24
318,1940,0,18,28,Average,male,68,Austria,639960,staff counsel,Bachelor,1,Black,160,0 EUR,1319.15
319,1940,0,13,11,Average,unknown,20,Austria,267814,rebar workers,Master,0,Red,200,0 EUR,1063.48
320,1940,0,18,24,Average,other,60,Austria,47890,program associate,Bachelor,1,Blond,196,0 EUR,404.09
321,1940,0,19,34,Average,male,90,Austria,2976,program administrator,Master,1,Black,156,0 EUR,844.77
322,1940,0,17,21,Happy,male,52,Austria,8809,ombudsperson,Master,1,Brown,221,0 EUR,587.44
323,1940,0,13,11,Average,male,21,Austria,2222510,senior project engineer,Bachelor,1,Brown,128,0 EUR,1442.72
324,1940,0,14,11,Happy,other,25,Austria,464493,laboratory technician,PhD,1,Blond,165,0 EUR,1085.24
325,1940,0,15,17,Average,female,35,Austria,676,support worker,PhD,0,Blond,173,0 EUR,536.56
326,1940,0,18,24,Average,male,62,Austria,83913,press officer,Bachelor,1,Black,167,0 EUR,477.26
327,1940,0,14,13,Average,other,26,Austria,895724,public warning specialist,Bachelor,1,Black,159,0 EUR,946.51
328,1940,0,16,17,Average,male,36,Austria,34531,senior it business analyst,No,0,Black,172,0 EUR,430.44
329,1940,0,13,12,Average,other,18,Austria,300430,staff attorney,No,0,Black,202,0 EUR,800.77
330,1940,0,16,17,Average,male,39,Austria,43571,production support,Bachelor,0,Black,207,0 EUR,344.29
331,1940,0,14,12,Average,male,24,Austria,696265,public policy and training coordinator,Bachelor,1,Brown,190,0 EUR,843.35
332,1940,0,19,35,Average,other,87,Austria,491069,triage coordinator,Bachelor,0,Black,163,0 EUR,1455.02
333,1940,0,17,22,Average,unknown,52,Austria,84729,senior estimator,#N/A,1,Red,192,0 EUR,323.01
334,1940,0,13,9,Happy,male,22,Austria,36847,help desk representative,Bachelor,1,Red,148,0 EUR,280.93
335,1940,0,15,15,Average,other,31,Austria,66235,safety & equipment training specialist,PhD,0,Black,179,0 EUR,509.75
336,1940,0,17,20,Average,other,46,Austria,674729,rigger,No,0,Brown,161,0 EUR,937.66
337,1940,0,15,15,Average,other,30,Austria,1556892,rebar workers,Master,1,Blond,204,0 EUR,1682.35
338,1940,0,12,8,Happy,male,15,Austria,886769,medical assistant,#N/A,1,Black,176,0 EUR,516.55
339,1940,0,15,13,Somewhat Happy,male,29,Austria,1022147,police officer,Master,0,Black,158,0 EUR,1672.21
340,1940,0,16,16,Happy,other,42,Austria,666435,hairdresser,Bachelor,1,Brown,183,0 EUR,963.72
341,1940,0,18,21,Happy,female,58,Austria,3807,hairstylist,No,0,Brown,144,0 EUR,361.05
342,1940,0,13,6,Somewhat Happy,male,20,Austria,2407335,computer service technician,Master,0,Brown,190,0 EUR,1422.27
343,1940,0,17,21,Average,male,49,Austria,21462,senior human resources specialist,No,1,Black,190,0 EUR,503.71
344,1940,0,16,19,Average,male,36,Austria,1760370,#N/A,PhD,0,Blond,190,0 EUR,2310.58
345,1940,0,13,11,Happy,#N/A,22,Austria,34893,postmaster,Bachelor,0,Brown,169,0 EUR,351.07
346,1940,0,13,11,Happy,other,22,Austria,78392,personnel coordinator,Bachelor,0,Black,184,0 EUR,326.11
347,1940,0,15,15,Average,other,30,Austria,1686665,qa senior auditor,Bachelor,1,Blond,204,0 EUR,1553.1
348,1940,0,12,8,Happy,male,16,Austria,28987,order filler,Bachelor,1,Black,148,0 EUR,184.44
349,1940,0,12,6.3,Average,female,16,Austria,828063,probation officer trainee,PhD,0,Brown,152,0 EUR,1009.46
350,1940,0,16,16,Happy,other,41,Austria,2029,interagency exercise coordinator,Bachelor,1,Red,152,124184.38 EUR,124581.94
351,1940,0,13,12,Average,other,22,Austria,436490,seasonal city park worker,Bachelor,1,Black,152,0 EUR,892.76
352,1940,0,12,10,Average,male,16,Austria,175502,recreation and fitness worker,No,1,Red,192,0 EUR,666.65
353,1940,0,16,16,Average,female,36,Austria,93047,research assistant,PhD,1,Brown,176,0 EUR,640.94
354,1940,0,137,15,Somewhat Happy,0,34,Azerbaijan,3701607,postsecondary teacher,Bachelor,0,Black,169,55970.93 EUR,57497.37
355,1940,0,131,14,Average,other,29,Azerbaijan,2727263,review unit supervisor,Master,1,Brown,175,34125.16 EUR,35904.45
356,1940,0,110,10,Average,other,17,Azerbaijan,751268,procurement contracting officer,No,1,Brown,194,97279.2 EUR,98050.78
357,1940,0,162,24,Happy,male,64,Azerbaijan,147209,janitorial worker,No,1,Black,163,0 EUR,885.07
358,1940,0,120,12,Average,male,22,Azerbaijan,740789,program management office assistant,Bachelor,0,Brown,188,0 EUR,923.5
359,1940,0,117,12,Average,other,20,Azerbaijan,1415887,steamfitter,Master,1,Blond,190,0 EUR,1786.73
360,1940,0,143,18,Average,other,39,Azerbaijan,1112044,senior electrical engineer,Bachelor,1,Black,167,0 EUR,1655.42
361,1940,0,124,11,Somewhat Happy,male,24,Azerbaijan,1816821,materials scientist,Master,0,Black,179,0 EUR,1662.29
362,1940,0,127,11,#N/A,#N/A,26,Azerbaijan,11270,grader,Bachelor,1,Black,194,0 EUR,202.19
363,1940,0,145,17,Happy,#N/A,41,Azerbaijan,756402,paralegal aide,PhD,1,Black,163,0 EUR,1477.83
364,1940,0,138,15,Somewhat Happy,male,35,Azerbaijan,1702607,packer,Bachelor,0,Blond,203,0 EUR,1516.89
365,1940,0,115,6.3,#N/A,female,19,Azerbaijan,1979176,mobile device management architect,Master,1,Black,158,0 EUR,1724.07
366,1940,0,110,8,Somewhat Happy,other,17,Azerbaijan,2516104,investigator trainee,No,0,Brown,209,0 EUR,1164.56
367,1940,0,122,10,Somewhat Happy,#N/A,23,Azerbaijan,1527958,labor relations attorney,Bachelor,1,Black,171,0 EUR,1388.09
368,1940,0,141,16,Average,male,37,Azerbaijan,222390,product manager,PhD,0,Blond,174,0 EUR,1278.37
369,1940,0,108,9,Somewhat Happy,other,16,Azerbaijan,1411344,plan management specialist,Master,1,Blond,175,14844.18 EUR,16548.66
370,1940,0,135,12,Happy,female,32,Azerbaijan,81935,heavy vehicle and mobile equipment service technician,Bachelor,0,Black,139,0 EUR,260.65
371,1940,0,105,11,Average,male,15,Azerbaijan,96857,therapist,Master,1,Blond,174,0 EUR,273.07
372,1940,0,147,19,Average,female,44,Azerbaijan,31767,rental clerk,PhD,0,Black,164,0 EUR,412.26
373,1940,0,117,9,Happy,unknown,20,Azerbaijan,56783,leather workers,Master,1,Red,191,0 EUR,221.52
374,1940,0,115,5.6,Happy,female,19,Azerbaijan,279646,grant manager,#N/A,0,Brown,160,0 EUR,568.08
375,1940,0,125,13,Average,male,25,Azerbaijan,547458,recruitment assistant,Master,1,Black,179,113411.77 EUR,114648.83
376,1940,0,120,14,Average,male,22,Azerbaijan,64167,Botanist,Master,1,Blond,208,0 EUR,432.95
377,1940,0,153,21,Average,other,51,Azerbaijan,1952559,product support specialist,Bachelor,1,Black,154,0 EUR,1578.59
378,1940,0,152,20,Happy,male,50,Azerbaijan,61872,maintenance worker,Bachelor,0,Red,196,0 EUR,400.81
379,1940,0,117,11,Average,other,20,Azerbaijan,541470,public records aide,Master,1,Red,200,0 EUR,1140.04
380,1940,0,122,12,Average,female,23,Azerbaijan,1067596,secondary school teacher,Master,1,Black,152,0 EUR,1771.05
381,1940,0,161,25,Average,other,62,Azerbaijan,46540,senior budget analyst,Bachelor,0,Brown,174,0 EUR,659.03
382,1940,0,144,15,Somewhat Happy,male,40,Azerbaijan,1855998,geologist,Bachelor,1,Blond,177,0 EUR,1415.83
383,1940,0,119,10,Happy,other,21,Azerbaijan,807386,office machine aide,Bachelor,1,Red,167,0 EUR,973.98
384,1940,0,132,15,Average,male,30,Azerbaijan,1734582,senior bi developer,No,0,Red,159,0 EUR,1370.83
385,1940,0,147,20,Average,female,43,Azerbaijan,279007,stationary engineer,No,1,#N/A,189,0 EUR,1030.23
386,1940,0,120,12,#N/A,male,22,Azerbaijan,1524577,product support specialist,No,0,Blond,191,0 EUR,1220.38
387,1940,0,110,13,Average,male,17,Azerbaijan,603581,#N/A,No,1,Black,175,0 EUR,984.95
388,1940,0,152,20,Happy,#N/A,50,Azerbaijan,43465,medical examiner assistant,Master,1,Brown,164,0 EUR,569.79
389,1940,0,136,14,Happy,female,33,Azerbaijan,116171,learning management,Bachelor,1,Brown,170,93576.42 EUR,94476.88
390,1940,0,164,26,Somewhat Happy,female,68,Azerbaijan,1571456,optical network engineer,Bachelor,0,Blond,138,0 EUR,1673.31
391,1940,0,122,12,Average,female,23,Azerbaijan,28365,senior business analyst,Master,1,Brown,139,0 EUR,277.88
392,1940,0,144,18,#N/A,male,40,Azerbaijan,945474,quality improvement specialist,Master,0,#N/A,180,0 EUR,1238.71
393,1940,0,148,19,Average,other,45,Azerbaijan,88612,securities commodities and financial services sales agent,Bachelor,0,Brown,155,0 EUR,435.61
394,1940,0,115,11,Average,other,19,Azerbaijan,676407,project cost estimator,Bachelor,1,Blond,184,134070.55 EUR,135074
395,1940,0,155,22,Average,female,54,Azerbaijan,2881397,program contract analyst,Bachelor,0,Brown,186,0 EUR,1718.78
396,1940,0,165,27,Average,male,70,Azerbaijan,19299,quality improvement specialist,Bachelor,0,#N/A,140,0 EUR,655.97
397,1940,0,136,14,Somewhat Happy,male,33,Azerbaijan,2154590,payroll systems analyst,Master,0,Black,172,0 EUR,1824.12
398,1940,0,134,13,#N/A,male,31,Azerbaijan,63592,inspector,Master,0,Blond,182,0 EUR,299.15
399,1940,0,157,19,Happy,male,56,Azerbaijan,67216,environmental scientist,No,1,Brown,163,0 EUR,305.41
400,1940,0,138,15,Happy,female,35,Azerbaijan,47965,office coordinator,Bachelor,1,Black,149,0 EUR,286.59
401,1940,0,120,11,Average,female,22,Azerbaijan,458968,program contract analyst,Bachelor,1,Black,144,0 EUR,925.99
402,1940,0,113,10,Happy,female,18,Azerbaijan,42131,police surgeon,Bachelor,0,Blond,167,0 EUR,225.92
403,1940,0,115,11,Average,other,19,Azerbaijan,573116,sql/oracle database administrator,No,0,Blond,158,0 EUR,887.82
404,1940,0,113,11,Average,other,18,Azerbaijan,74132,senior it project manager,No,0,#N/A,208,0 EUR,196.55
405,1940,0,163,27,Average,female,65,Azerbaijan,2298162,senior radio system network engineer,Bachelor,0,Black,159,0 EUR,1646.41
406,1940,0,143,18,Average,other,39,Azerbaijan,59407,resident engineer,Master,1,#N/A,184,0 EUR,427.81
407,1940,0,130,13,Somewhat Happy,male,28,Azerbaijan,1805593,oil burner specialist,Bachelor,1,Brown,199,0 EUR,1524.5
408,1940,0,154,20,Somewhat Happy,unknown,52,Azerbaijan,1569212,juvenile justice trainer,Master,0,Black,169,140271.63 EUR,142254.74
409,1940,0,152,21,Average,male,49,Azerbaijan,95260,receptionist,Bachelor,0,Blond,181,0 EUR,333.58
410,1940,0,103,6.3,Average,female,14,Azerbaijan,547684,quality control case reviewer,Bachelor,0,Black,184,0 EUR,858.75
411,1940,0,152,20,Happy,male,50,Azerbaijan,59828,optical network engineer,No,0,Black,200,0 EUR,344.82
412,1940,0,150,18,Happy,#N/A,47,Azerbaijan,71947,instructor,Bachelor,1,Brown,170,119586.22 EUR,119925.21
413,1940,0,146,16,Happy,male,42,Azerbaijan,39969,health promoter,Bachelor,0,Black,178,0 EUR,333.95
414,1940,0,128,13,Average,female,27,Azerbaijan,967564,qa senior auditor,No,1,Blond,172,0 EUR,757.68
415,1940,0,136,15,Average,male,33,Azerbaijan,274556,press officer,Master,0,Black,185,0 EUR,1182.99
416,1940,0,117,10,Happy,unknown,20,Azerbaijan,98309,molder,Bachelor,0,Black,172,0 EUR,306.49
417,1940,0,146,16,Happy,other,42,Azerbaijan,54332,it contracts specialist,Master,1,Black,163,0 EUR,397.79
418,1940,0,110,9,Happy,male,17,Azerbaijan,766279,physician assistant,Bachelor,0,Black,155,0 EUR,953.4
419,1940,0,147,16,Somewhat Happy,male,43,Azerbaijan,1505665,help desk technician,Master,1,Blond,192,0 EUR,1759.5
420,1940,0,159,24,Average,male,59,Azerbaijan,972690,reinforcing iron worker,Bachelor,1,Brown,172,0 EUR,1180.06
421,1940,0,163,25,Happy,unknown,66,Azerbaijan,12627,plumber,No,1,Black,159,0 EUR,590.06
422,1940,0,119,12,Average,other,21,Azerbaijan,817693,senior technology analyst/coordinator,Bachelor,1,Brown,174,0 EUR,968.79
423,1940,0,113,6.3,Somewhat Happy,female,18,Azerbaijan,1740820,accountable manager,Bachelor,0,Black,158,0 EUR,1410.9
424,1940,0,159,26,Average,#N/A,60,Azerbaijan,38416,space scientists,No,0,Black,195,45377.15 EUR,45758.47
425,1940,0,134,13,Happy,male,31,Azerbaijan,902288,java developer,Master,0,Blond,180,0 EUR,1105.98
426,1940,0,108,10,Average,other,16,Azerbaijan,1344430,public health nurse,No,0,Black,176,0 EUR,1289.03
427,1940,0,145,17,Happy,male,41,Azerbaijan,12262,nuclear engineer,No,0,Black,216,0 EUR,396.24
428,1940,0,137,11,Happy,unknown,34,Azerbaijan,462871,data analyst,Bachelor,0,Blond,177,0 EUR,848.64
429,1940,0,152,21,Average,male,50,Azerbaijan,1037613,security systems engineer,Bachelor,0,Red,175,0 EUR,1685.21
430,1940,0,140,17,Average,female,36,Azerbaijan,673412,switchboard operator,Bachelor,1,Black,147,0 EUR,1083.18
431,1940,0,110,4.9,Happy,female,17,Azerbaijan,181594,housekeeping cleaner,Bachelor,1,Blond,152,0 EUR,819.25
432,1940,0,137,14,Somewhat Happy,male,34,Azerbaijan,1064132,locomotive engineer,Master,1,Blond,185,0 EUR,1784.25
433,1940,0,157,24,Average,other,57,Azerbaijan,853460,safe event coordinator,Bachelor,1,Blond,195,0 EUR,1042.86
434,1940,0,150,21,Average,female,47,Azerbaijan,10436,senior project controls specialist,Bachelor,1,Black,163,0 EUR,348.3
435,1940,0,158,24,Average,male,58,Azerbaijan,1686176,safety & equipment training specialist,Bachelor,0,Brown,205,0 EUR,1944.59
436,1940,0,135,13,Happy,other,32,Azerbaijan,56028,geoscientist,Bachelor,0,#N/A,198,0 EUR,249.59
437,1940,0,138,15,Somewhat Happy,female,35,Azerbaijan,1315653,chief review officer,Bachelor,0,Blond,157,0 EUR,1584.66
438,1940,0,137,17,#N/A,female,34,Azerbaijan,52063,staff analyst ii,No,0,Brown,173,0 EUR,311.6
439,1940,0,155,23,Average,#N/A,53,Azerbaijan,441300,senior staff electrical engineer,No,0,Blond,188,0 EUR,1100.17
440,1940,0,147,17,Happy,#N/A,43,Azerbaijan,19471,nuclear engineer,Master,0,Blond,169,0 EUR,407.39
441,1940,0,135,14,Somewhat Happy,female,32,Azerbaijan,3052427,operations customer service liaison,Bachelor,0,Black,195,0 EUR,1521.97
442,1940,0,148,20,#N/A,male,45,Azerbaijan,96964,quality management specialist,Bachelor,1,Black,197,0 EUR,320.57
443,1940,0,145,14,Somewhat Happy,female,41,Azerbaijan,2156578,energy policy advisor,Master,1,Blond,148,0 EUR,1581.26
444,1940,0,137,14,Somewhat Happy,other,34,Azerbaijan,1849920,jeweler,Bachelor,1,Black,162,0 EUR,1388.03
445,1940,0,110,7,Happy,male,17,Azerbaijan,87407,fire fighter,Master,1,Black,190,47572.06 EUR,47745.62
446,1940,0,152,17,Somewhat Happy,female,50,Azerbaijan,1684450,engineering manager,Bachelor,1,Brown,175,0 EUR,1388.79
447,1940,0,156,25,#N/A,other,55,Azerbaijan,70754,#N/A,Bachelor,1,Brown,167,0 EUR,901.58
448,1940,0,115,13,Average,unknown,19,Azerbaijan,525736,Beautician,Bachelor,1,Brown,209,0 EUR,1199.32
449,1940,0,105,11,Average,male,15,Azerbaijan,1314844,structural iron and steel worker,PhD,0,Black,193,91757.56 EUR,93874.41
450,1940,0,148,16,Happy,female,45,Azerbaijan,34921,engineering manager,PhD,1,Blond,158,1692.85 EUR,2075.77
451,1940,0,119,9,Happy,male,21,Azerbaijan,155846,group head,Master,0,Black,187,0 EUR,974.76
452,1940,0,155,22,Average,male,53,Azerbaijan,823825,safety & equipment training specialist,Bachelor,0,Blond,162,0 EUR,1048.28
453,1940,0,144,19,#N/A,male,40,Azerbaijan,51099,strategic account manager,Master,0,Black,200,0 EUR,664.44
454,1940,0,145,15,Happy,female,41,Azerbaijan,21842,field operations training coordinator,Bachelor,1,Blond,150,0 EUR,252.61
455,1940,0,120,13,Average,male,22,Azerbaijan,31331,social science research assistant,Bachelor,0,Blond,173,0 EUR,264.81
456,1940,0,141,17,Average,other,37,Azerbaijan,2832145,senior construction manager,Bachelor,1,Black,177,0 EUR,1534.31
457,1940,0,128,13,Average,female,27,Azerbaijan,30565,regulatory compliance agency attorney,No,1,#N/A,155,0 EUR,191.21
458,1940,0,119,12,Average,female,21,Azerbaijan,945193,senior product manager,Master,0,Black,168,0 EUR,1104.71
459,1940,0,135,14,Happy,male,32,Azerbaijan,215576,office machine repairer,Bachelor,0,Black,179,0 EUR,1048.9
460,1940,0,122,12,Average,other,23,Azerbaijan,12713,product advisor,Master,0,Blond,174,0 EUR,243.3
461,1940,0,128,13,#N/A,male,27,Azerbaijan,586087,police officer,Bachelor,0,Blond,208,0 EUR,1071.7
462,1940,0,119,12,Average,male,21,Azerbaijan,725141,senior mainframe programmer analyst,No,0,Black,145,0 EUR,746.05
463,1940,0,151,21,Average,#N/A,48,Azerbaijan,1444996,sanitation engineer,PhD,0,Black,175,0 EUR,2568.71
464,1940,0,135,15,Average,female,32,Azerbaijan,710151,program managercadd coordinator,Bachelor,1,Black,202,53519.01 EUR,54383.73
465,1940,0,134,15,Average,#N/A,31,Azerbaijan,83843,senior radio system network engineer,Bachelor,0,Blond,153,0 EUR,348.24
466,1940,0,148,17,Happy,female,45,Azerbaijan,71688,lifeguard,No,0,Black,157,0 EUR,289.01
467,1940,0,147,18,Average,female,44,Azerbaijan,670534,procurement clerk,#N/A,1,#N/A,154,0 EUR,693.54
468,1940,0,157,24,#N/A,male,57,Azerbaijan,72816,senior product manager,Bachelor,0,#N/A,191,0 EUR,565.42
469,1940,0,138,14,Happy,unknown,35,Azerbaijan,599670,hostler,Master,1,Black,199,0 EUR,1170.37
470,1940,0,119,6.3,Happy,female,21,Azerbaijan,10089,junior accountant,No,1,Brown,134,0 EUR,145.14
471,1940,0,156,24,#N/A,male,55,Azerbaijan,95517,spending analyst,Bachelor,1,Brown,219,0 EUR,546.92
472,1940,0,143,18,Average,male,39,Azerbaijan,851455,senior radio system network engineer,Master,0,Black,195,0 EUR,1101.32
473,1940,0,105,4.9,Somewhat Happy,female,15,Azerbaijan,1532968,management analyst,#N/A,1,Brown,138,0 EUR,908.21
474,1940,0,110,9,Happy,male,17,Azerbaijan,841934,photographer,No,1,Black,156,0 EUR,768.66
475,1940,0,132,13,Happy,female,30,Azerbaijan,143555,marketing and sales manager,Bachelor,1,Black,157,127824.21 EUR,128757
476,1940,0,110,12,Average,male,17,Azerbaijan,197994,#N/A,No,1,Black,158,0 EUR,896.69
477,1940,0,119,10,Happy,other,21,Azerbaijan,227684,permit records assistant,Bachelor,1,Brown,150,0 EUR,940.55
